质数,个,质数差,质数差差
89521,8668,2,-4
89519,8667,6,-6
89513,8666,12,2
89501,8665,10,-4
89491,8664,14,-4
89477,8663,18,8
89459,8662,10,4
89449,8661,6,-6
89443,8660,12,-2
89431,8659,14,10
89417,8658,4,-10
89413,8657,14,8
89399,8656,6,0
89393,8655,6,0
89387,8654,6,-4
89381,8653,10,2
89371,8652,8,-26
89363,8651,34,22
89329,8650,12,-2
89317,8649,14,4
89303,8648,10,-10
89293,8647,20,16
89273,8646,4,-4
89269,8645,8,-16
89261,8644,24,18
89237,8643,6,2
89231,8642,4,-10
89227,8641,14,10
89213,8640,4,-2
89209,8639,6,-8
89203,8638,14,-22
89189,8637,36,20
89153,8636,16,2
89137,8635,14,10
89123,8634,4,-2
89119,8633,6,0
89113,8632,6,0
89107,8631,6,-8
89101,8630,14,10
89087,8629,4,-8
89083,8628,12,10
89071,8627,2,-10
89069,8626,12,6
89057,8625,6,-4
89051,8624,10,-10
89041,8623,20,16
89021,8622,4,-4
89017,8621,8,2
89009,8620,6,0
89003,8619,6,2
88997,8618,4,-20
88993,8617,24,6
88969,8616,18,4
88951,8615,14,-4
88937,8614,18,2
88919,8613,16,10
88903,8612,6,-8
88897,8611,14,4
88883,8610,10,4
88873,8609,6,0
88867,8608,6,-2
88861,8607,8,-2
88853,8606,10,-14
88843,8605,24,22
88819,8604,2,-2
88817,8603,4,2
88813,8602,2,-2
88811,8601,4,-2
88807,8600,6,4
88801,8599,2,-4
88799,8598,6,2
88793,8597,4,-14
88789,8596,18,-6
88771,8595,24,18
88747,8594,6,-6
88741,8593,12,4
88729,8592,8,-32
88721,8591,40,26
88681,8590,14,10
88667,8589,4,2
88663,8588,2,-2
88661,8587,4,-2
88657,8586,6,-2
88651,8585,8,-26
88643,8584,34,32
88609,8583,2,-14
88607,8582,16,14
88591,8581,2,-40
88589,8580,42,18
88547,8579,24,14
88523,8578,10,-4
88513,8577,14,8
88499,8576,6,-16
88493,8575,22,20
88471,8574,2,-4
88469,8573,6,-30
88463,8572,36,32
88427,8571,4,-8
88423,8570,12,-2
88411,8569,14,-4
88397,8568,18,-22
88379,8567,40,38
88339,8566,2,-8
88337,8565,10,4
88327,8564,6,-14
88321,8563,20,8
88301,8562,12,-16
88289,8561,28,26
88261,8560,2,-16
88259,8559,18,14
88241,8558,4,-10
88237,8557,14,2
88223,8556,12,-22
88211,8555,34,26
88177,8554,8,-32
88169,8553,40,28
88129,8552,12,-12
88117,8551,24,10
88093,8550,14,4
88079,8549,10,-22
88069,8548,32,14
88037,8547,18,6
88019,8546,12,8
88007,8545,4,2
88003,8544,2,-8
88001,8543,10,-4
87991,8542,14,10
87977,8541,4,-8
87973,8540,12,10
87961,8539,2,-14
87959,8538,16,4
87943,8537,12,-2
87931,8536,14,8
87917,8535,6,-18
87911,8534,24,18
87887,8533,6,2
87881,8532,4,-4
87877,8531,8,-8
87869,8530,16,-4
87853,8529,20,-2
87833,8528,22,14
87811,8527,8,2
87803,8526,6,2
87797,8525,4,-22
87793,8524,26,10
87767,8523,16,8
87751,8522,8,4
87743,8521,4,-14
87739,8520,18,16
87721,8519,2,-16
87719,8518,18,14
87701,8517,4,-2
87697,8516,6,-2
87691,8515,8,4
87683,8514,4,-4
87679,8513,8,-14
87671,8512,22,16
87649,8511,6,4
87643,8510,2,-8
87641,8509,10,8
87631,8508,2,-4
87629,8507,6,-4
87623,8506,10,-14
87613,8505,24,22
87589,8504,2,-2
87587,8503,4,-20
87583,8502,24,22
87559,8501,2,-2
87557,8500,4,-2
87553,8499,6,0
87547,8498,6,4
87541,8497,2,-14
87539,8496,16,10
87523,8495,6,0
87517,8494,6,4
87511,8493,2,-16
87509,8492,18,8
87491,8491,10,2
87481,8490,8,-22
87473,8489,30,20
87443,8488,10,4
87433,8487,6,0
87427,8486,6,-8
87421,8485,14,10
87407,8484,4,-16
87403,8483,20,-4
87383,8482,24,2
87359,8481,22,8
87337,8480,14,8
87323,8479,6,2
87317,8478,4,-10
87313,8477,14,8
87299,8476,6,-6
87293,8475,12,8
87281,8474,4,-16
87277,8473,20,16
87257,8472,4,2
87253,8471,2,-26
87251,8470,28,26
87223,8469,2,-8
87221,8468,10,-14
87211,8467,24,18
87187,8466,6,4
87181,8465,2,-26
87179,8464,28,26
87151,8463,2,-14
87149,8462,16,4
87133,8461,12,10
87121,8460,2,-10
87119,8459,12,8
87107,8458,4,-16
87103,8457,20,8
87083,8456,12,-10
87071,8455,22,14
87049,8454,8,4
87041,8453,4,-20
87037,8452,24,22
87013,8451,2,-16
87011,8450,18,6
86993,8449,12,0
86981,8448,12,2
86969,8447,10,2
86959,8446,8,-4
86951,8445,12,2
86939,8444,10,8
86929,8443,2,-2
86927,8442,4,-50
86923,8441,54,46
86869,8440,8,4
86861,8439,4,-2
86857,8438,6,-2
86851,8437,8,2
86843,8436,6,-18
86837,8435,24,-6
86813,8434,30,18
86783,8433,12,8
86771,8432,4,-10
86767,8431,14,4
86753,8430,10,-4
86743,8429,14,4
86729,8428,10,2
86719,8427,8,-10
86711,8426,18,14
86693,8425,4,-8
86689,8424,12,-36
86677,8423,48,46
86629,8422,2,-26
86627,8421,28,16
86599,8420,12,4
86587,8419,8,2
86579,8418,6,-6
86573,8417,12,-10
86561,8416,22,16
86539,8415,6,4
86533,8414,2,-20
86531,8413,22,14
86509,8412,8,-2
86501,8411,10,-4
86491,8410,14,4
86477,8409,10,4
86467,8408,6,-2
86461,8407,8,-4
86453,8406,12,-6
86441,8405,18,8
86423,8404,10,-4
86413,8403,14,4
86399,8402,10,2
86389,8401,8,-2
86381,8400,10,8
86371,8399,2,-10
86369,8398,12,8
86357,8397,4,2
86353,8396,2,-8
86351,8395,10,-8
86341,8394,18,6
86323,8393,12,-2
86311,8392,14,10
86297,8391,4,2
86293,8390,2,-2
86291,8389,4,-14
86287,8388,18,12
86269,8387,6,0
86263,8386,6,-2
86257,8385,8,2
86249,8384,6,2
86243,8383,4,-26
86239,8382,30,22
86209,8381,8,4
86201,8380,4,-10
86197,8379,14,10
86183,8378,4,-4
86179,8377,8,-2
86171,8376,10,-8
86161,8375,18,12
86143,8374,6,0
86137,8373,6,-8
86131,8372,14,10
86117,8371,4,2
86113,8370,2,-26
86111,8369,28,22
86083,8368,6,-2
86077,8367,8,-32
86069,8366,40,38
86029,8365,2,-8
86027,8364,10,4
86017,8363,6,-6
86011,8362,12,4
85999,8361,8,-50
85991,8360,58,56
85933,8359,2,-20
85931,8358,22,16
85909,8357,6,-8
85903,8356,14,-22
85889,8355,36,30
85853,8354,6,2
85847,8353,4,-2
85843,8352,6,0
85837,8351,6,4
85831,8350,2,-8
85829,8349,10,8
85819,8348,2,-22
85817,8347,24,12
85793,8346,12,-18
85781,8345,30,12
85751,8344,18,2
85733,8343,16,10
85717,8342,6,-2
85711,8341,8,-4
85703,8340,12,-10
85691,8339,22,20
85669,8338,2,-4
85667,8337,6,-12
85661,8336,18,14
85643,8335,4,-8
85639,8334,12,6
85627,8333,6,4
85621,8332,2,-10
85619,8331,12,6
85607,8330,6,2
85601,8329,4,-16
85597,8328,20,14
85577,8327,6,-16
85571,8326,22,4
85549,8325,18,10
85531,8324,8,2
85523,8323,6,2
85517,8322,4,-22
85513,8321,26,8
85487,8320,18,2
85469,8319,16,14
85453,8318,2,-2
85451,8317,4,-4
85447,8316,8,-2
85439,8315,10,8
85429,8314,2,-14
85427,8313,16,-14
85411,8312,30,18
85381,8311,12,6
85369,8310,6,4
85363,8309,2,-26
85361,8308,28,26
85333,8307,2,-16
85331,8306,18,8
85313,8305,10,4
85303,8304,6,-32
85297,8303,38,26
85259,8302,12,8
85247,8301,4,-2
85243,8300,6,-2
85237,8299,8,2
85229,8298,6,-4
85223,8297,10,-2
85213,8296,12,10
85201,8295,2,-4
85199,8294,6,-28
85193,8293,34,22
85159,8292,12,-2
85147,8291,14,2
85133,8290,12,0
85121,8289,12,6
85109,8288,6,-4
85103,8287,10,8
85093,8286,2,-2
85091,8285,4,-2
85087,8284,6,-14
85081,8283,20,8
85061,8282,12,0
85049,8281,12,2
85037,8280,10,4
85027,8279,6,-6
85021,8278,12,-6
85009,8277,18,6
84991,8276,12,10
84979,8275,2,-8
84977,8274,10,4
84967,8273,6,-8
84961,8272,14,-14
84947,8271,28,22
84919,8270,6,-36
84913,8269,42,40
84871,8268,2,-8
84869,8267,10,8
84859,8266,2,-28
84857,8265,30,14
84827,8264,16,14
84811,8263,2,-14
84809,8262,16,10
84793,8261,6,-20
84787,8260,26,16
84761,8259,10,-4
84751,8258,14,8
84737,8257,6,-6
84731,8256,12,6
84719,8255,6,-6
84713,8254,12,8
84701,8253,4,-2
84697,8252,6,-12
84691,8251,18,4
84673,8250,14,8
84659,8249,6,2
84653,8248,4,-14
84649,8247,18,16
84631,8246,2,-38
84629,8245,40,10
84589,8244,30,22
84559,8243,8,-10
84551,8242,18,8
84533,8241,10,8
84523,8240,2,-10
84521,8239,12,6
84509,8238,6,2
84503,8237,4,-14
84499,8236,18,4
84481,8235,14,10
84467,8234,4,-2
84463,8233,6,-2
84457,8232,8,2
84449,8231,6,0
84443,8230,6,0
84437,8229,6,-4
84431,8228,10,-4
84421,8227,14,8
84407,8226,6,-4
84401,8225,10,8
84391,8224,2,-10
84389,8223,12,-16
84377,8222,28,26
84349,8221,2,-26
84347,8220,28,26
84319,8219,2,-2
84317,8218,4,-2
84313,8217,6,-2
84307,8216,8,-28
84299,8215,36,20
84263,8214,16,8
84247,8213,8,-2
84239,8212,10,4
84229,8211,6,4
84223,8210,2,-8
84221,8209,10,-2
84211,8208,12,4
84199,8207,8,-2
84191,8206,10,8
84181,8205,2,-14
84179,8204,16,-4
84163,8203,20,14
84143,8202,6,0
84137,8201,6,2
84131,8200,4,-2
84127,8199,6,-26
84121,8198,32,10
84089,8197,22,16
84067,8196,6,4
84061,8195,2,-4
84059,8194,6,0
84053,8193,6,-24
84047,8192,30,24
84017,8191,6,-18
84011,8190,24,20
83987,8189,4,-10
83983,8188,14,-16
83969,8187,30,24
83939,8186,6,-6
83933,8185,12,2
83921,8184,10,2
83911,8183,8,-4
83903,8182,12,-6
83891,8181,18,14
83873,8180,4,-8
83869,8179,12,-2
83857,8178,14,4
83843,8177,10,-10
83833,8176,20,-2
83813,8175,22,8
83791,8174,14,10
83777,8173,4,-8
83773,8172,12,-12
83761,8171,24,6
83737,8170,18,16
83719,8169,2,-14
83717,8168,16,4
83701,8167,12,-14
83689,8166,26,16
83663,8165,10,-2
83653,8164,12,10
83641,8163,2,-16
83639,8162,18,14
83621,8161,4,-4
83617,8160,8,-4
83609,8159,12,6
83597,8158,6,-6
83591,8157,12,-4
83579,8156,16,14
83563,8155,2,-2
83561,8154,4,-16
83557,8153,20,-20
83537,8152,40,20
83497,8151,20,14
83477,8150,6,-6
83471,8149,12,2
83459,8148,10,4
83449,8147,6,0
83443,8146,6,0
83437,8145,6,-2
83431,8144,8,2
83423,8143,6,-4
83417,8142,10,4
83407,8141,6,4
83401,8140,2,-8
83399,8139,10,4
83389,8138,6,-20
83383,8137,26,10
83357,8136,16,14
83341,8135,2,-26
83339,8134,28,16
83311,8133,12,-14
83299,8132,26,22
83273,8131,4,2
83269,8130,2,-8
83267,8129,10,-4
83257,8128,14,4
83243,8127,10,8
83233,8126,2,-2
83231,8125,4,-2
83227,8124,6,4
83221,8123,2,-10
83219,8122,12,8
83207,8121,4,-22
83203,8120,26,-14
83177,8119,40,20
83137,8118,20,4
83117,8117,16,8
83101,8116,8,4
83093,8115,4,-8
83089,8114,12,6
83077,8113,6,-2
83071,8112,8,4
83063,8111,4,-8
83059,8110,12,-12
83047,8109,24,10
83023,8108,14,8
83009,8107,6,0
83003,8106,6,-10
82997,8105,16,-2
82981,8104,18,-6
82963,8103,24,-2
82939,8102,26,16
82913,8101,10,-2
82903,8100,12,10
82891,8099,2,-4
82889,8098,6,-30
82883,8097,36,26
82847,8096,10,-14
82837,8095,24,22
82813,8094,2,-10
82811,8093,12,6
82799,8092,6,0
82793,8091,6,0
82787,8090,6,-12
82781,8089,18,14
82763,8088,4,2
82759,8087,2,-26
82757,8086,28,26
82729,8085,2,-2
82727,8084,4,2
82723,8083,2,-20
82721,8082,22,-20
82699,8081,42,36
82657,8080,6,-12
82651,8079,18,4
82633,8078,14,8
82619,8077,6,2
82613,8076,4,-4
82609,8075,8,-2
82601,8074,10,-10
82591,8073,20,16
82571,8072,4,-2
82567,8071,6,4
82561,8070,2,-8
82559,8069,10,-8
82549,8068,18,16
82531,8067,2,-20
82529,8066,22,14
82507,8065,8,2
82499,8064,6,0
82493,8063,6,2
82487,8062,4,-8
82483,8061,12,10
82471,8060,2,-4
82469,8059,6,0
82463,8058,6,-30
82457,8057,36,8
82421,8056,28,22
82393,8055,6,-8
82387,8054,14,2
82373,8053,12,2
82361,8052,10,8
82351,8051,2,-8
82349,8050,10,-22
82339,8049,32,26
82307,8048,6,-16
82301,8047,22,10
82279,8046,12,6
82267,8045,6,-14
82261,8044,20,16
82241,8043,4,-2
82237,8042,6,-2
82231,8041,8,4
82223,8040,4,2
82219,8039,2,-8
82217,8038,10,-4
82207,8037,14,10
82193,8036,4,-2
82189,8035,6,-6
82183,8034,12,4
82171,8033,8,-2
82163,8032,10,-2
82153,8031,12,10
82141,8030,2,-8
82139,8029,10,-46
82129,8028,56,50
82073,8027,6,-10
82067,8026,16,4
82051,8025,12,10
82039,8024,2,-4
82037,8023,6,-4
82031,8022,10,2
82021,8021,8,4
82013,8020,4,2
82009,8019,2,-2
82007,8018,4,-26
82003,8017,30,28
81973,8016,2,-2
81971,8015,4,-10
81967,8014,14,4
81953,8013,10,4
81943,8012,6,0
81937,8011,6,4
81931,8010,2,-8
81929,8009,10,-8
81919,8008,18,16
81901,8007,2,-14
81899,8006,16,2
81883,8005,14,-2
81869,8004,16,10
81853,8003,6,-2
81847,8002,8,-14
81839,8001,22,4
81817,8000,18,-8
81799,7999,26,22
81773,7998,4,-4
81769,7997,8,-4
81761,7996,12,0
81749,7995,12,2
81737,7994,10,-10
81727,7993,20,16
81707,7992,4,2
81703,7991,2,-10
81701,7990,12,0
81689,7989,12,6
81677,7988,6,2
81671,7987,4,-14
81667,7986,18,16
81649,7985,2,-8
81647,7984,10,2
81637,7983,8,-2
81629,7982,10,2
81619,7981,8,-34
81611,7980,42,36
81569,7979,6,2
81563,7978,4,-2
81559,7977,6,4
81553,7976,2,-2
81551,7975,4,-10
81547,7974,14,8
81533,7973,6,-4
81527,7972,10,2
81517,7971,8,-38
81509,7970,46,40
81463,7969,6,-12
81457,7968,18,0
81439,7967,18,6
81421,7966,12,4
81409,7965,8,-20
81401,7964,28,26
81373,7963,2,-10
81371,7962,12,6
81359,7961,6,2
81353,7960,4,-2
81349,7959,6,-6
81343,7958,12,-12
81331,7957,24,16
81307,7956,8,2
81299,7955,6,-4
81293,7954,10,8
81283,7953,2,-40
81281,7952,42,36
81239,7951,6,-4
81233,7950,10,-10
81223,7949,20,16
81203,7948,4,2
81199,7947,2,-14
81197,7946,16,8
81181,7945,8,-2
81173,7944,10,4
81163,7943,6,-20
81157,7942,26,14
81131,7941,12,-6
81119,7940,18,14
81101,7939,4,-10
81097,7938,14,8
81083,7937,6,0
81077,7936,6,-16
81071,7935,22,20
81049,7934,2,-2
81047,7933,4,2
81043,7932,2,-8
81041,7931,10,2
81031,7930,8,4
81023,7929,4,2
81019,7928,2,-2
81017,7927,4,-8
81013,7926,12,0
81001,7925,12,-14
80989,7924,26,16
80963,7923,10,-10
80953,7922,20,16
80933,7921,4,-2
80929,7920,6,0
80923,7919,6,0
80917,7918,6,4
80911,7917,2,-10
80909,7916,12,-22
80897,7915,34,20
80863,7914,14,-2
80849,7913,16,14
80833,7912,2,-10
80831,7911,12,2
80819,7910,10,4
80809,7909,6,-8
80803,7908,14,8
80789,7907,6,2
80783,7906,4,2
80779,7905,2,-14
80777,7904,16,4
80761,7903,12,10
80749,7902,2,-8
80747,7901,10,-14
80737,7900,24,12
80713,7899,12,-2
80701,7898,14,10
80687,7897,4,2
80683,7896,2,-2
80681,7895,4,-2
80677,7894,6,4
80671,7893,2,-10
80669,7892,12,6
80657,7891,6,-16
80651,7890,22,20
80629,7889,2,-4
80627,7888,6,-4
80621,7887,10,2
80611,7886,8,4
80603,7885,4,-28
80599,7884,32,22
80567,7883,10,-10
80557,7882,20,10
80537,7881,10,-4
80527,7880,14,-8
80513,7879,22,20
80491,7878,2,-14
80489,7877,16,14
80473,7876,2,-20
80471,7875,22,20
80449,7874,2,-16
80447,7873,18,-4
80429,7872,22,2
80407,7871,20,2
80387,7870,18,12
80369,7869,6,-10
80363,7868,16,10
80347,7867,6,-6
80341,7866,12,0
80329,7865,12,4
80317,7864,8,-14
80309,7863,22,14
80287,7862,8,2
80279,7861,6,-4
80273,7860,10,-2
80263,7859,12,0
80251,7858,12,6
80239,7857,6,4
80233,7856,2,-8
80231,7855,10,-2
80221,7854,12,10
80209,7853,2,-14
80207,7852,16,2
80191,7851,14,10
80177,7850,4,-2
80173,7849,6,-8
80167,7848,14,10
80153,7847,4,2
80149,7846,2,-4
80147,7845,6,-24
80141,7844,30,26
80111,7843,4,-26
80107,7842,30,24
80077,7841,6,-14
80071,7840,20,8
80051,7839,12,-6
80039,7838,18,-4
80021,7837,22,20
79999,7836,2,-8
79997,7835,10,2
79987,7834,8,2
79979,7833,6,0
79973,7832,6,-18
79967,7831,24,20
79943,7830,4,-28
79939,7829,32,28
79907,7828,4,2
79903,7827,2,-10
79901,7826,12,-4
79889,7825,16,10
79873,7824,6,0
79867,7823,6,-8
79861,7822,14,10
79847,7821,4,2
79843,7820,2,-10
79841,7819,12,6
79829,7818,6,0
79823,7817,6,2
79817,7816,4,2
79813,7815,2,-8
79811,7814,10,-14
79801,7813,24,16
79777,7812,8,-4
79769,7811,12,-46
79757,7810,58,56
79699,7809,2,-2
79697,7808,4,2
79693,7807,2,-2
79691,7806,4,-14
79687,7805,18,6
79669,7804,12,-12
79657,7803,24,22
79633,7802,2,-2
79631,7801,4,-2
79627,7800,6,-2
79621,7799,8,4
79613,7798,4,-4
79609,7797,8,-4
79601,7796,12,2
79589,7795,10,-8
79579,7794,18,16
79561,7793,2,-8
79559,7792,10,-2
79549,7791,12,6
79537,7790,6,-32
79531,7789,38,26
79493,7788,12,-18
79481,7787,30,12
79451,7786,18,12
79433,7785,6,2
79427,7784,4,-8
79423,7783,12,0
79411,7782,12,10
79399,7781,2,-2
79397,7780,4,-10
79393,7779,14,2
79379,7778,12,2
79367,7777,10,2
79357,7776,8,-4
79349,7775,12,8
79337,7774,4,-10
79333,7773,14,4
79319,7772,10,2
79309,7771,8,-10
79301,7770,18,14
79283,7769,4,-2
79279,7768,6,-8
79273,7767,14,-4
79259,7766,18,8
79241,7765,10,8
79231,7764,2,-26
79229,7763,28,20
79201,7762,8,2
79193,7761,6,0
79187,7760,6,-16
79181,7759,22,16
79159,7758,6,4
79153,7757,2,-2
79151,7756,4,-4
79147,7755,8,2
79139,7754,6,-16
79133,7753,22,14
79111,7752,8,-8
79103,7751,16,-8
79087,7750,24,4
79063,7749,20,16
79043,7748,4,-4
79039,7747,8,-34
79031,7746,42,32
78989,7745,10,8
78979,7744,2,-34
78977,7743,36,24
78941,7742,12,2
78929,7741,10,-8
78919,7740,18,10
78901,7739,8,4
78893,7738,4,2
78889,7737,2,-8
78887,7736,10,-10
78877,7735,20,16
78857,7734,4,-10
78853,7733,14,-2
78839,7732,16,2
78823,7731,14,8
78809,7730,6,0
78803,7729,6,0
78797,7728,6,2
78791,7727,4,-2
78787,7726,6,4
78781,7725,2,-40
78779,7724,42,26
78737,7723,16,8
78721,7722,8,2
78713,7721,6,-4
78707,7720,10,4
78697,7719,6,-32
78691,7718,38,34
78653,7717,4,-2
78649,7716,6,-14
78643,7715,20,4
78623,7714,16,2
78607,7713,14,4
78593,7712,10,4
78583,7711,6,0
78577,7710,6,4
78571,7709,2,-14
78569,7708,16,4
78553,7707,12,10
78541,7706,2,-20
78539,7705,22,16
78517,7704,6,4
78511,7703,2,-10
78509,7702,12,2
78497,7701,10,2
78487,7700,8,-4
78479,7699,12,-16
78467,7698,28,26
78439,7697,2,-8
78437,7696,10,-16
78427,7695,26,-8
78401,7694,34,14
78367,7693,20,14
78347,7692,6,-18
78341,7691,24,18
78317,7690,6,2
78311,7689,4,-2
78307,7688,6,-12
78301,7687,18,12
78283,7686,6,-12
78277,7685,18,0
78259,7684,18,10
78241,7683,8,4
78233,7682,4,-22
78229,7681,26,16
78203,7680,10,8
78193,7679,2,-10
78191,7678,12,6
78179,7677,6,0
78173,7676,6,2
78167,7675,4,-2
78163,7674,6,-12
78157,7673,18,16
78139,7672,2,-14
78137,7671,16,-4
78121,7670,20,-2
78101,7669,22,2
78079,7668,20,10
78059,7667,10,2
78049,7666,8,-2
78041,7665,10,-4
78031,7664,14,4
78017,7663,10,2
78007,7662,8,-8
77999,7661,16,10
77983,7660,6,-2
77977,7659,8,-10
77969,7658,18,0
77951,7657,18,14
77933,7656,4,-26
77929,7655,30,24
77899,7654,6,-20
77893,7653,26,22
77867,7652,4,-10
77863,7651,14,4
77849,7650,10,-16
77839,7649,26,14
77813,7648,12,8
77801,7647,4,-10
77797,7646,14,4
77783,7645,10,-2
77773,7644,12,-2
77761,7643,14,10
77747,7642,4,-8
77743,7641,12,4
77731,7640,8,4
77723,7639,4,-2
77719,7638,6,4
77713,7637,2,-10
77711,7636,12,2
77699,7635,10,8
77689,7634,2,-4
77687,7633,6,-16
77681,7632,22,10
77659,7631,12,6
77647,7630,6,-14
77641,7629,20,16
77621,7628,4,-2
77617,7627,6,-14
77611,7626,20,16
77591,7625,4,-10
77587,7624,14,10
77573,7623,4,-2
77569,7622,6,0
77563,7621,6,0
77557,7620,6,4
77551,7619,2,-4
77549,7618,6,-10
77543,7617,16,10
77527,7616,6,-2
77521,7615,8,4
77513,7614,4,-14
77509,7613,18,16
77491,7612,2,-8
77489,7611,10,8
77479,7610,2,-4
77477,7609,6,-18
77471,7608,24,8
77447,7607,16,4
77431,7606,12,10
77419,7605,2,-32
77417,7604,34,28
77383,7603,6,-2
77377,7602,8,-2
77369,7601,10,2
77359,7600,8,4
77351,7599,4,-4
77347,7598,8,-8
77339,7597,16,10
77323,7596,6,-20
77317,7595,26,14
77291,7594,12,2
77279,7593,10,8
77269,7592,2,-2
77267,7591,4,2
77263,7590,2,-10
77261,7589,12,6
77249,7588,6,2
77243,7587,4,2
77239,7586,2,-22
77237,7585,24,12
77213,7584,12,2
77201,7583,10,-10
77191,7582,20,16
77171,7581,4,-10
77167,7580,14,2
77153,7579,12,8
77141,7578,4,-32
77137,7577,36,28
77101,7576,8,-4
77093,7575,12,0
77081,7574,12,-10
77069,7573,22,16
77047,7572,6,-6
77041,7571,12,6
77029,7570,6,0
77023,7569,6,-8
77017,7568,14,2
77003,7567,12,-16
76991,7566,28,26
76963,7565,2,-10
76961,7564,12,6
76949,7563,6,-18
76943,7562,24,18
76919,7561,6,0
76913,7560,6,-18
76907,7559,24,14
76883,7558,10,8
76873,7557,2,-22
76871,7556,24,14
76847,7555,10,4
76837,7554,6,4
76831,7553,2,-8
76829,7552,10,-8
76819,7551,18,-2
76801,7550,20,16
76781,7549,4,-2
76777,7548,6,-8
76771,7547,14,10
76757,7546,4,-16
76753,7545,20,4
76733,7544,16,-4
76717,7543,20,2
76697,7542,18,12
76679,7541,6,0
76673,7540,6,-10
76667,7539,16,14
76651,7538,2,-16
76649,7537,18,-6
76631,7536,24,20
76607,7535,4,-2
76603,7534,6,-12
76597,7533,18,0
76579,7532,18,0
76561,7531,18,16
76543,7530,2,-2
76541,7529,4,-14
76537,7528,18,10
76519,7527,8,4
76511,7526,4,-10
76507,7525,14,8
76493,7524,6,0
76487,7523,6,-4
76481,7522,10,2
76471,7521,8,-14
76463,7520,22,4
76441,7519,18,16
76423,7518,2,-16
76421,7517,18,2
76403,7516,16,8
76387,7515,8,-2
76379,7514,10,8
76369,7513,2,-22
76367,7512,24,14
76343,7511,10,-20
76333,7510,30,16
76303,7509,14,8
76289,7508,6,-16
76283,7507,22,20
76261,7506,2,-4
76259,7505,6,2
76253,7504,4,-2
76249,7503,6,-6
76243,7502,12,-6
76231,7501,18,12
76213,7500,6,-38
76207,7499,44,40
76163,7498,4,2
76159,7497,2,-8
76157,7496,10,-8
76147,7495,18,12
76129,7494,6,-14
76123,7493,20,16
76103,7492,4,-4
76099,7491,8,-2
76091,7490,10,8
76081,7489,2,-38
76079,7488,40,32
76039,7487,8,-20
76031,7486,28,26
76003,7485,2,-2
76001,7484,4,-2
75997,7483,6,4
75991,7482,2,-4
75989,7481,6,2
75983,7480,4,-8
75979,7479,12,-14
75967,7478,26,22
75941,7477,4,-2
75937,7476,6,-12
75931,7475,18,-12
75913,7474,30,16
75883,7473,14,-2
75869,7472,16,-4
75853,7471,20,8
75833,7470,12,-12
75821,7469,24,20
75797,7468,4,-2
75793,7467,6,0
75787,7466,6,-2
75781,7465,8,2
75773,7464,6,-18
75767,7463,24,12
75743,7462,12,2
75731,7461,10,-2
75721,7460,12,10
75709,7459,2,-2
75707,7458,4,-10
75703,7457,14,8
75689,7456,6,2
75683,7455,4,-16
75679,7454,20,14
75659,7453,6,-6
75653,7452,12,0
75641,7451,12,2
75629,7450,10,8
75619,7449,2,-4
75617,7448,6,-22
75611,7447,28,22
75583,7446,6,0
75577,7445,6,-8
75571,7444,14,10
75557,7443,4,-8
75553,7442,12,10
75541,7441,2,-4
75539,7440,6,0
75533,7439,6,0
75527,7438,6,-4
75521,7437,10,2
75511,7436,8,-16
75503,7435,24,-18
75479,7434,42,36
75437,7433,6,-18
75431,7432,24,20
75407,7431,4,2
75403,7430,2,-8
75401,7429,10,8
75391,7428,2,-10
75389,7427,12,2
75377,7426,10,-4
75367,7425,14,8
75353,7424,6,-4
75347,7423,10,2
75337,7422,8,2
75329,7421,6,-10
75323,7420,16,-2
75307,7419,18,6
75289,7418,12,4
75277,7417,8,-8
75269,7416,16,2
75253,7415,14,2
75239,7414,12,8
75227,7413,4,-2
75223,7412,6,0
75217,7411,6,4
75211,7410,2,-14
75209,7409,16,4
75193,7408,12,0
75181,7407,12,10
75169,7406,2,-4
75167,7405,6,-6
75161,7404,12,-4
75149,7403,16,-8
75133,7402,24,-2
75109,7401,26,22
75083,7400,4,-34
75079,7399,38,34
75041,7398,4,-4
75037,7397,8,-4
75029,7396,12,8
75017,7395,4,2
75013,7394,2,-50
75011,7393,52,34
74959,7392,18,10
74941,7391,8,4
74933,7390,4,-2
74929,7389,6,-14
74923,7388,20,14
74903,7387,6,0
74897,7386,6,2
74891,7385,4,-10
74887,7384,14,10
74873,7383,4,-4
74869,7382,8,4
74861,7381,4,-10
74857,7380,14,2
74843,7379,12,8
74831,7378,4,-2
74827,7377,6,-18
74821,7376,24,6
74797,7375,18,10
74779,7374,8,-2
74771,7373,10,8
74761,7372,2,-10
74759,7371,12,-4
74747,7370,16,14
74731,7369,2,-8
74729,7368,10,8
74719,7367,2,-2
74717,7366,4,-2
74713,7365,6,-2
74707,7364,8,-4
74699,7363,12,-22
74687,7362,34,4
74653,7361,30,18
74623,7360,12,10
74611,7359,2,-10
74609,7358,12,2
74597,7357,10,-4
74587,7356,14,8
74573,7355,6,0
74567,7354,6,-4
74561,7353,10,-10
74551,7352,20,16
74531,7351,4,-2
74527,7350,6,-6
74521,7349,12,10
74509,7348,2,-16
74507,7347,18,0
74489,7346,18,0
74471,7345,18,14
74453,7344,4,-4
74449,7343,8,-14
74441,7342,22,16
74419,7341,6,4
74413,7340,2,-26
74411,7339,28,26
74383,7338,2,-2
74381,7337,4,-10
74377,7336,14,8
74363,7335,6,2
74357,7334,4,-26
